gameSlug,videoSrc,imgSrc,url,name,score,type
car-toys-japan,https://videos.crazygames.com/car-toys-japan.mp4,"https://images.crazygames.com/cartoysjapan.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/car-toys-japan,"
Car Toys: Japan ","
6.9 ",puzzle
shift,https://videos.crazygames.com/shift.mp4,"https://images.crazygames.com/shiftb.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/shift,"
Shift ","
7.4 ",puzzle
gentle-gravity,https://videos.crazygames.com/null,,http://www.crazygames.com/game/gentle-gravity,"
Gentle Gravity ","
7.6 ",puzzle
travelers-from-mars,https://videos.crazygames.com/null,,http://www.crazygames.com/game/travelers-from-mars,"
Travelers from Mars ","
7.5 ",puzzle
space-pets,https://videos.crazygames.com/null,,http://www.crazygames.com/game/space-pets,"
Space Pets ","
7.5 ",puzzle
ice-penguin,https://videos.crazygames.com/null,,http://www.crazygames.com/game/ice-penguin,"
Ice Penguin ","
7.7 ",puzzle
the-rogue-puzzle,https://videos.crazygames.com/null,,http://www.crazygames.com/game/the-rogue-puzzle,"
The Rogue Puzzle ","
7.5 ",puzzle
uncontrollable,https://videos.crazygames.com/null,,http://www.crazygames.com/game/uncontrollable,"
Uncontrollable ","
7.4 ",puzzle
superdozer,https://videos.crazygames.com/null,,https://www.crazygames.com/game/superdozer,"
Superdozer ","
7.5 ",puzzle
moana-puzzle,https://videos.crazygames.com/null,,https://www.crazygames.com/game/moana-puzzle,"
Moana Puzzle ","
7.7 ",puzzle
civiballs-2,https://videos.crazygames.com/null,,http://www.crazygames.com/game/civiballs-2,"
Civiballs 2 ","
7.4 ",puzzle
zombonarium,https://videos.crazygames.com/null,,http://www.crazygames.com/game/zombonarium,"
Zombonarium ","
7.4 ",puzzle
giraffe-hero,https://videos.crazygames.com/null,,http://www.crazygames.com/game/giraffe-hero,"
Giraffe Hero ","
7.5 ",puzzle
